0.00E+00	7.09E+00
2.50E-02	7.61E+00
5.00E-02	7.56E+00
7.50E-02	7.28E+00
1.00E-01	6.59E+00
1.25E-01	6.25E+00
1.50E-01	5.79E+00
1.75E-01	5.42E+00
2.00E-01	4.58E+00
2.25E-01	4.30E+00
2.50E-01	3.42E+00
2.75E-01	3.13E+00
3.00E-01	2.52E+00
3.25E-01	2.16E+00
3.50E-01	1.67E+00
3.75E-01	1.34E+00
4.00E-01	9.58E-01
4.25E-01	3.47E-01
4.50E-01	2.43E-01
4.75E-01	-2.51E-01
5.00E-01	-5.37E-01
5.25E-01	-3.43E-01
5.50E-01	-5.91E-01
5.75E-01	-6.93E-01
6.00E-01	-5.44E-01
6.25E-01	-7.28E-01
6.50E-01	-7.38E-01
6.75E-01	-6.12E-01
7.00E-01	-6.17E-01
7.25E-01	-6.97E-01
7.50E-01	-8.49E-01
7.75E-01	-7.68E-01
8.00E-01	-3.88E-01
8.25E-01	-7.56E-01
8.50E-01	-4.63E-01
8.75E-01	-5.62E-01
9.00E-01	-9.68E-02
9.25E-01	-1.72E-01
9.50E-01	-2.24E-01
9.75E-01	-1.88E-01
1.00E+00	-3.48E-01
1.03E+00	3.98E-03
1.05E+00	-2.79E-01
1.08E+00	-2.33E-01
1.10E+00	1.84E-02
1.13E+00	-1.72E-01
1.15E+00	2.07E-01
1.18E+00	2.21E-01
1.20E+00	1.84E-01
1.23E+00	-9.56E-02
1.25E+00	1.64E-01
1.28E+00	9.49E-02
1.30E+00	3.22E-01
1.33E+00	1.58E-01
1.35E+00	2.30E-01
1.38E+00	5.18E-02
1.40E+00	3.56E-02
1.43E+00	2.26E-01
1.45E+00	-1.51E-01
1.48E+00	-1.33E-01
1.50E+00	-1.20E-01
1.53E+00	-1.76E-02
1.55E+00	1.96E-01
1.58E+00	1.77E-01
1.60E+00	-2.00E-01
